Terms,Document 1.txt,Document 2.txt,Document 3.txt,Document 4.txt,Document 5.txt,Document 6.txt,Document 7.txt,Document 8.txt,Document 9.txt,Document 10.txt,idf,tf-idf 1,tf-idf 2,tf-idf 3,tf-idf 4,tf-idf 5,tf-idf 6,tf-idf 7,tf-idf 8,tf-idf 9,tf-idf 10
demand,0,0,0,-0.505149978319906,0,0,0,0,0,0,1.0,0.0,0.0,0.0,-0.505149978319906,0.0,0.0,0.0,0.0,0.0,0.0
prepar,0,0,0,0,0,0,0,-0.4623979978989561,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4623979978989561,0.0,0.0
plan,0,-0.30102999566398125,0,0,0,0,0,0,0,0,1.0,0.0,-0.30102999566398125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
collect,-0.3979400086720375,0,0,0,0,0,0,0,0,0,1.0,-0.3979400086720375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
human,0,0,0,0,0,0,-0.6812412373755872,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6812412373755872,0.0,0.0,0.0
resourc,-0.09691001300805646,0,-0.11394335230683672,0,0,0,0,0,0,0,0.6989700043360189,-0.06773719221244487,0.0,-0.07964298545597019,0.0,0.0,0.0,0.0,0.0,0.0,0.0
strong,0,0,0,0,-0.2041199826559248,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,-0.2041199826559248,0.0,0.0,0.0,0.0,0.0
good,0,0,0,0,-0.2041199826559248,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,-0.2041199826559248,0.0,0.0,0.0,0.0,0.0
treat,0,0,0,0,0,0,-0.6812412373755872,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6812412373755872,0.0,0.0,0.0
well,0,0,0,0,0,0,-0.6812412373755872,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6812412373755872,0.0,0.0,0.0
career,0,0,0,-0.505149978319906,0.09691001300805646,0,0,0,0,0,0.6989700043360189,0.0,0.0,0.0,-0.3530846825366046,0.06773719221244487,0.0,0.0,0.0,0.0,0.0
system,0,0,-0.11394335230683672,0,0,-0.2787536009528291,0,0,0,0,0.6989700043360189,0.0,0.0,-0.07964298545597019,0.0,0.0,-0.19484040566667982,0.0,0.0,0.0,0.0
visual,0,0,0,0,0,0,-0.6812412373755872,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6812412373755872,0.0,0.0,0.0
