Terms,unit-vector 1,unit-vector 2,unit-vector 3,unit-vector 4,unit-vector 5,unit-vector 6,unit-vector 7,unit-vector 8,unit-vector 9,unit-vector 10
demand,0.0,0.0,0.0,-0.28791493308232047,0.0,0.0,0.0,0.0,0.0,0.0
prepar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.23035352382102212,0.0,0.0
plan,0.0,-0.47656782435138284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
collect,-0.28161540712656064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
human,0.0,0.0,0.0,0.0,0.0,0.0,-0.19443131222823998,0.0,0.0,0.0
resourc,-0.04793646415743816,0.0,-0.28463170765640805,0.0,0.0,0.0,0.0,0.0,0.0,0.0
strong,0.0,0.0,0.0,0.0,-0.3259033065301444,0.0,0.0,0.0,0.0,0.0
good,0.0,0.0,0.0,0.0,-0.3259033065301444,0.0,0.0,0.0,0.0,0.0
treat,0.0,0.0,0.0,0.0,0.0,0.0,-0.19443131222823998,0.0,0.0,0.0
well,0.0,0.0,0.0,0.0,0.0,0.0,-0.19443131222823998,0.0,0.0,0.0
career,0.0,0.0,0.0,-0.20124390202495412,0.10815097390202995,0.0,0.0,0.0,0.0,0.0
system,0.0,0.0,-0.28463170765640805,0.0,0.0,-0.27695108136440083,0.0,0.0,0.0,0.0
visual,0.0,0.0,0.0,0.0,0.0,0.0,-0.19443131222823998,0.0,0.0,0.0
radiograph,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.23035352382102212,0.0,0.0
bachelor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.23035352382102212,0.0,0.0
relat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2390207224269895,0.0
concern,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2390207224269895,0.0
therapist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2390207224269895,0.0
scan,0.0,0.0,0.0,0.0,0.0,0.0,-0.13590165515123073,-0.05618946233201267,0.0,0.0
sever,0.0,0.0,0.0,0.0,0.0,0.0,-0.19443131222823998,0.0,0.0,0.0
goal,-0.28161540712656064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
industri,0.0,0.0,0.0,-0.28791493308232047,0.0,0.0,0.0,0.0,0.0,0.0
design,0.0,0.0,0.0,-0.28791493308232047,0.0,0.0,0.0,0.0,0.0,0.0
includ,0.0,0.0,0.0,0.0,0.0,0.0,-0.10851511416822705,0.0,0.0,0.0
across,0.0,0.0,0.0,-0.28791493308232047,0.0,0.0,0.0,0.0,0.0,0.0
ct,0.0,0.0,0.0,0.0,0.0,0.0,-0.13590165515123073,-0.16101020354399703,0.0,0.0
subfield,0.0,0.0,0.0,-0.28791493308232047,0.0,0.0,0.0,0.0,0.0,0.0
intervent,0.0,0.0,0.0,0.0,0.0,0.0,-0.19443131222823998,0.0,0.0,0.0
comput,0.0,0.0,-0.09034034086301987,-0.0035440852358149077,0.03432644917681218,0.10195189774477856,-0.043134343504102425,0.0,0.0,0.06081093799317458
profession,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.23035352382102212,0.0,0.0
magnet,0.0,0.0,0.0,0.0,0.0,0.0,-0.19443131222823998,0.0,0.0,0.0
